	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
	at1_r1_c1	at1_r1_c2	at1_r1_c3	at1_r2_c1	at1_r2_c2	at1_r2_c3	at1_r3_c1	at1_r3_c2	at1_r3_c3	at1_r4_c1	at1_r4_c2	at1_r4_c3	at1_r5_c1	at1_r5_c2	at1_r5_c3	at1_r6_c1	at1_r6_c2	at1_r6_c3
VARIABLES	logwage	cz_all_w_m2	cz_all_w_m3	logearn	cz_all_e_m2	cz_all_e_m3	logwagehs	cz_hs_w_m2	cz_hs_w_m3	logearnhs	cz_hs_e_m2	cz_hs_e_m3	logwage13p	cz_13p_w_m2	cz_13p_w_m3	logearn13p	cz_13p_e_m2	cz_13p_e_m3
																		
logsize	0.06765	0.05900	0.05619	0.07837	0.05936	0.06007	0.03117	0.04958	0.04872	0.02782	0.04562	0.05004	0.08158	0.06973	0.06479	0.09189	0.07244	0.06884
	0.00999	0.00484	0.00446	0.01296	0.00655	0.00614	0.00447	0.00373	0.00392	0.00546	0.00488	0.00541	0.00935	0.00541	0.00465	0.01304	0.00731	0.00607
Constant	1.78353	-0.94183	-0.89706	8.96569	-0.94752	-0.95895	2.15299	-0.77802	-0.76450	9.50934	-0.71581	-0.78516	1.73284	-1.12199	-1.04226	8.97996	-1.16517	-1.10707
	0.14890	0.07128	0.06565	0.19399	0.09754	0.09131	0.06612	0.05479	0.05766	0.08179	0.07259	0.08057	0.13919	0.07971	0.06835	0.19524	0.10885	0.09014
																		
Observations	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691
R-squared	0.49732	0.60724	0.60481	0.48929	0.54144	0.59033	0.30757	0.54774	0.54707	0.21369	0.42639	0.51115	0.59080	0.65808	0.65464	0.55070	0.60651	0.63823
