	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
	at2_r1_c1	at2_r1_c2	at2_r1_c3	at2_r1_c4	at2_r1_c5	at2_r1_c6	at2_r1_c7	at2_r1_c8	at2_r1_c9	at2_r2_c1	at2_r2_c2	at2_r2_c3	at2_r2_c4	at2_r2_c5	at2_r2_c6	at2_r2_c7	at2_r2_c8	at2_r2_c9	at2_r3_c1	at2_r3_c2	at2_r3_c3	at2_r3_c4	at2_r3_c5	at2_r3_c6	at2_r3_c7	at2_r3_c8	at2_r3_c9	at2_r4_c1	at2_r4_c2	at2_r4_c3	at2_r4_c4	at2_r4_c5	at2_r4_c6	at2_r4_c7	at2_r4_c8	at2_r4_c9
VARIABLES	emp	emp	emp	emp_m	emp_m	emp_m	emp_f	emp_f	emp_f	cz_all_emp_m2	cz_all_emp_m2	cz_all_emp_m2	cz_m_emp_m2	cz_m_emp_m2	cz_m_emp_m2	cz_f_emp_m2	cz_f_emp_m2	cz_f_emp_m2	hours	hours	hours	hours_m	hours_m	hours_m	hours_f	hours_f	hours_f	cz_all_hours_m2	cz_all_hours_m2	cz_all_hours_m2	cz_m_hours_m2	cz_m_hours_m2	cz_m_hours_m2	cz_f_hours_m2	cz_f_hours_m2	cz_f_hours_m2
																																				
logsize	0.00504			0.00953			0.00090			-0.00017			0.00064			-0.00097			11.42025			15.62253			9.03914			-3.82240			-7.42186			0.01693		
	0.00294			0.00257			0.00358			0.00210			0.00220			0.00213			8.27389			8.20693			8.99576			5.37371			6.11528			4.89561		
logwage		0.14941			0.16536			0.13490			0.06792			0.05821			0.07753			336.90834			358.57266			325.49718			80.26244			33.67398			127.89002	
		0.02170			0.02173			0.02356			0.01718			0.01969			0.01588			49.12579			53.20307			49.57694			39.68213			48.47351			34.06794	
cz_all_w_m2			0.12023			0.16634			0.07518			0.03779			0.03469			0.04160			283.25414			345.52162			230.21642			34.34843			-7.68041			79.46286
			0.03335			0.03176			0.03886			0.02620			0.02853			0.02576			83.07881			85.86109			87.05586			62.79693			74.73887			54.21988
Constant	0.70629	0.35945	0.78688	0.67795	0.35714	0.83027	0.72922	0.35777	0.74363	0.00268	-0.19422	0.00007	-0.01008	-0.16635	0.00015	0.01557	-0.22165	0.00012	1,294.79940	513.60710	1,477.46340	1,411.04588	634.93178	1,660.84759	1,149.73423	363.19295	1,294.32397	60.96154	-229.50234	0.05889	118.46462	-96.19604	0.07573	-0.31527	-365.72792	0.09965
	0.04427	0.06010	0.00348	0.03866	0.06039	0.00313	0.05390	0.06509	0.00438	0.03169	0.04759	0.00274	0.03314	0.05472	0.00288	0.03212	0.04393	0.00291	124.47330	136.10340	9.27947	123.44435	148.03360	9.78566	135.27198	137.17012	9.78829	80.87582	110.34395	7.06031	91.88477	135.42147	8.70578	73.72655	94.69188	6.15377
																																				
Observations	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691	691
R-squared	0.03162	0.25202	0.10171	0.09906	0.27037	0.17049	0.00088	0.18109	0.03505	0.00007	0.09663	0.01864	0.00082	0.06195	0.01371	0.00188	0.10794	0.01936	0.02862	0.22583	0.09948	0.03751	0.17914	0.10366	0.02001	0.23521	0.07333	0.00555	0.02220	0.00253	0.01243	0.00232	0.00008	0.00000	0.07125	0.01714
