	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
	at7_c1_r1	at7_c2_r1	at7_c1_r2	at7_c2_r2	at7_c1_r3	at7_c2_r3	at7_c1_r4	at7_c2_r4
VARIABLES	logvalue	logvalue	cz_value	cz_value	logrent	logrent	cz_rent	cz_rent
								
logsize	0.25360	0.36711	0.22667	0.41400	0.17028	0.18622	0.17812	0.22259
	0.02358	0.04988	0.03148	0.05945	0.00820	0.02178	0.00969	0.02368
Constant	8.19616	6.27069	-3.55232	-6.74342	3.98924	3.72520	-2.86852	-3.61990
	0.34563	0.83934	0.46473	0.99363	0.11905	0.37572	0.14116	0.40298
								
Observations	678	50	678	50	678	50	678	50
R-squared	0.51211	0.34767	0.43449	0.37295	0.61753	0.35280	0.63412	0.43031
